,Distance,Sector,MBP,Image Path
0,62.609903369994115,49,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
1,60.92618484691127,50,"[1, 1, 1, 1, 1, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
2,95.13148795220224,43,"[1, 1, 1, 1, 1, 1, 0, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
3,97.41663102366043,43,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
4,102.42070103255493,42,"[0, 1, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
5,54.56189146281496,64,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
6,70.9365914038728,41,"[0, 0, 0, 0, 0, 0, 1, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
7,71.5122367151245,68,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
8,73.05477397131553,40,"[1, 1, 1, 1, 1, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
9,21.95449840010015,61,"[1, 1, 1, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
10,23.430749027719962,62,"[1, 1, 1, 1, 1, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
11,103.0970416646375,38,"[1, 1, 0, 0, 0, 0, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
12,44.598206241955516,40,"[0, 0, 1, 1, 1, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
13,18.439088914585774,64,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
14,87.5728268357257,38,"[1, 1, 0, 0, 0, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
15,8.06225774829855,56,"[0, 0, 1, 1, 1, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
16,41.773197148410844,70,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
17,92.26592003551474,37,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
18,4.242640687119285,46,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
19,51.03920062069938,37,"[0, 1, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
20,16.1245154965971,38,"[1, 1, 0, 0, 0, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
21,2.8284271247461903,64,"[0, 0, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
22,85.00588214941364,36,"[1, 0, 0, 0, 0, 0, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
23,88.02272433866155,36,"[0, 1, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
24,55.08175741568164,36,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
25,43.18564576337837,35,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
26,16.15549442140351,32,"[1, 1, 0, 0, 0, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
27,6.0,19,"[0, 1, 1, 1, 1, 1, 1, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
28,47.51841748206689,35,"[1, 1, 0, 0, 0, 0, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
29,9.899494936611665,10,"[0, 1, 1, 1, 1, 1, 1, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
30,13.892443989449804,7,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
31,60.63827174318213,34,"[0, 0, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
32,45.5411901469428,33,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
33,88.45903006477066,34,"[0, 1, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
34,64.19501538281614,33,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
35,82.71033792700887,34,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
36,33.421549934136806,29,"[0, 0, 0, 0, 1, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
37,85.86617494683223,34,"[1, 1, 0, 0, 0, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
38,93.62157870918435,3,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_1/fp_15/14772.tiff
